"id","product_full_name","product_fabric_icon_1","slug_fabric_icon_1","product_fabric_icon_2","slug_fabric_icon_2","product_fabric_icon_3","slug_fabric_icon_3","product_fabric_icon_4","slug_fabric_icon_4","product_fabric_icon_5","slug_fabric_icon_5","show_on_category_page","popular","is_new","available_for_delivery_2","available_for_delivery_28","available_in_showroom","product_img","description","price","closeup","width","depth","height","pdf","product_inside","product_inside_pillow","carcas_type","paws_type","mechanism_type","sleep_place","linen_drawer","scheme","features","created","updated","product_slug","category_id","collection_id","fabric_name_id","popover_id","slider_interior_id","carousel_item_1","carousel_item_2","carousel_item_3","carousel_item_4","carousel_item_5","carousel_item_mob_1","carousel_item_mob_2","carousel_item_mob_3","carousel_item_mob_4","carousel_item_mob_5","price_old","popover_img","carousel_item_6","carousel_item_mob_6","product_img_mob","show_fabric_icons","d3"
57,Угловой диван Avis,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,"","","","",true,false,true,true,true,true,images/AVIS_CORNER_L_JAZZ_01_GOODS_01.png,Дизайнерский угловой диван станет украшением вашей гостиной,145120.00,closeups/AVIS_CORNER_L_JAZZ_01_CLOSEUP.png,284,155,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"","Изменяемая глубина посадки, ортопедические свойства",2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,avis-cornerl-jazz-01,3,5,2,2,2,carousel/AVIS_CORNER_L_JAZZ_01_CARD_01.jpg,carousel/AVIS_CORNER_L_JAZZ_01_CARD_02.jpg,carousel/AVIS_CORNER_L_JAZZ_01_CARD_03.jpg,carousel/AVIS_CORNER_L_JAZZ_01_CARD_04.jpg,"",carousel/AVIS_CORNER_L_JAZZ_01_CARD_MOB_01.jpg,carousel/AVIS_CORNER_L_JAZZ_01_CARD_MOB_02.jpg,carousel/AVIS_CORNER_L_JAZZ_01_CARD_MOB_03.jpg,carousel/AVIS_CORNER_L_JAZZ_01_CARD_MOB_04.jpg,"",,carousel/AVIS_CORNER_L_JAZZ_01_CARD_01.jpg,"","",images/AVIS_CORNER_L_JAZZ_01_GOODS_01.png,true,""
33,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_VELUTTO_04_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",186233.00,closeups/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CLOSEUP.jpg,283,72,84,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/CON_ARMCH.svg,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 22:23:30.186 +0300,consono-cornerl-velutto-04,3,1,9,2,2,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_VELUTTO_04_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,"","",images/CONSONO_CORNER_ST_LEFT_VELUTTO_04_GOODS_02.png,true,"3d/CONSONO_CORNER_ST_LEFT_MAX2018.zip"
67,Пуф Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/ELEMENTA_POUF_M_CORS0_08_GOODS_01.png,"Elementa – универсальная модульная система, позволяющая скомпоновать множество конфигураций: от небольшого дивана-кровати до свободно стоящего модульного дивана, включающего столики, оттоманки и модули увеличенной глубины. Сдержанный, лаконичный дизайн подходит для различных интерьеров. В диван входит модуль EL2-202, оснащенный механизмом трансформации, который образует спальное место размером",20000.00,closeups/ELEMENTA_POUF_M_CORS0_08_CLOSEUP.jpg,20,20,20,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-poufl-corso-08,6,3,8,2,2,carousel/ELEMENTA_POUF_M_CORS0_08_CARD_01.jpg,carousel/ELEMENTA_POUF_M_CORS0_08_CARD_02.jpg,"","","",carousel/ELEMENTA_POUF_M_CORS0_08_CARD_MOB_01.jpg,carousel/ELEMENTA_POUF_M_CORS0_08_CARD_MOB_02.jpg,"","","",,carousel/ELEMENTA_POUF_M_CORS0_08_CARD_01.jpg,"","",images/ELEMENTA_POUF_M_CORS0_08_GOODS_01.png,true,""
69,Пуф Elementa,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/VELUTTO_32.png,velutto-32,fabric_icons/TEDDY_917.png,teddy-917,true,true,true,true,true,true,images/ELEMENTA_POUF_M_KILLIAN_01_GOODS_01.png,"Elementa – универсальная модульная система, позволяющая скомпоновать множество конфигураций: от небольшого дивана-кровати до свободно стоящего модульного дивана, включающего столики, оттоманки и модули увеличенной глубины. Сдержанный, лаконичный дизайн подходит для различных интерьеров. В диван входит модуль EL2-202, оснащенный механизмом трансформации, который образует спальное место размером",20000.00,closeups/ELEMENTA_POUF_M_KILLIAN_01_CLOSEUP.jpg,20,20,20,pdf/ELEMENTA.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,elementa-poufl-kilian-01,6,3,7,2,2,carousel/ELEMENTA_POUF_M_KILLIAN_01_CARD_01.jpg,carousel/ELEMENTA_POUF_M_KILLIAN_01_CARD_02.jpg,"","","",carousel/ELEMENTA_POUF_M_KILLIAN_01_CARD_MOB_01.jpg,carousel/ELEMENTA_POUF_M_KILLIAN_01_CARD_MOB_02.jpg,"","","",,carousel/ELEMENTA_POUF_M_KILLIAN_01_CARD_01.jpg,"","",images/ELEMENTA_POUF_M_KILLIAN_01_GOODS_01.png,true,""
62,Угловой диван Avis,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,"","","","",true,false,true,true,true,true,images/AVIS_CORNER_L_KILLIAN_01_GOODS_01.png,Дизайнерский угловой диван станет украшением вашей гостиной,145120.00,closeups/AVIS_CORNER_L_KILLIAN_01_CLOSEUP.png,284,155,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"","Изменяемая глубина посадки, ортопедические свойства",2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,avis-corner_r-kilian-01,16,5,7,2,2,carousel/AVIS_CORNER_R_KILLIAN_01_CARD_01.jpg,carousel/AVIS_CORNER_R_KILLIAN_01_CARD_02.jpg,carousel/AVIS_CORNER_R_KILLIAN_01_CARD_03.jpg,carousel/AVIS_CORNER_R_KILLIAN_01_CARD_04.jpg,"",carousel/AVIS_CORNER_R_KILLIAN_01_CARD_MOB_01.jpg,carousel/AVIS_CORNER_R_KILLIAN_01_CARD_MOB_02.jpg,carousel/AVIS_CORNER_R_KILLIAN_01_CARD_MOB_03.jpg,carousel/AVIS_CORNER_R_KILLIAN_01_CARD_MOB_04.jpg,"",,carousel/AVIS_CORNER_R_KILLIAN_01_CARD_01.jpg,"","",images/AVIS_CORNER_R_KILLIAN_01_GOODS_01.png,true,""
28,Кресло Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_ARM_PIXEL_FOREST_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122.00,closeups/CONSONO_ARM_PIXEL_FOREST_CLOSEUP.jpg,108,110,81,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/CON_ARMCH.svg,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-29 17:38:29.723 +0300,consono-arm-pixel-forest,1,1,4,2,2,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_01.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_02.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_03.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_04.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_05.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_MOB_01.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_MOB_02.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_MOB_03.jpg,carousel/CONSONO_ARM_CORSO_PIXEL_FOREST_MOB_04.jpg,carousel/CONSONO_ARM_PIXEL_FOREST_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_PIXEL_FOREST_CARD_02.jpg,"","",images/CONSONO_ARM_PIXEL_FOREST_GOODS_02.png,true,"3d/CONSONO_ARM_MAX2018.zip"
82,Прямой диван Formeto,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/VELUTTO_16.png,velutto-16,"","",true,false,true,true,true,true,images/FORMETO_SOFA_2M_ST_CORS0_08_GOODS_01.png,"Коллекция Formeto – это идеальное решение для тех, кто ценит комфорт и функциональность. Наклонные подлокотники и мягкая начинка обеспечивают максимальный комфорт во время отдыха или чтения. Бельевые ящики позволяют хранить постельное белье и другие вещи. Металлические ножки добавляют лёгкости и стильности дизайну. Декоративный кант придает дивану изысканный вид.",118779.00,closeups/FORMETO_SOFA_CORS0_08_CLOSEUP.jpg,240,86,103,pdf/FORMETO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,да,да,да,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,formeto-sofa_2m_st-corso-08,10,7,8,2,2,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_01.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_02.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_03.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_04.jpg,"",carousel/FORMETO_SOFA_2M_CORS0_08_CARD_MOB_01.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_MOB_02.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_MOB_03.jpg,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_05.jpg,,carousel/FORMETO_SOFA_2M_CORS0_08_CARD_01.jpg,"","",images/FORMETO_SOFA_2M_ST_CORS0_08_GOODS_01.png,true,""
87,Прямой диван Sempero,fabric_icons/CORSO_08.png,corso-08,fabric_icons/LEATHER_BLACK.png,leather-black,fabric_icons/LEATHER_BROWN.png,leather-brown,fabric_icons/VELUTTO_16.png,velutto-16,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_GOODS_01.png,"Sempero – это строгий и функциональный диван. Инновационная система аммортизации, механизм трансформации в кровать ""Пантограф"" и отсек для хранения белья. Небольшой габарит позволяет разместить в любое пространство. Выбирайте черные литые металлические ножки или замените на г-образные или хромированные наклонные. Sempero – это диван, который станет украшением вашей гостиной.",118632.00,closeups/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CLOSEUP.jpg,226,92,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,Пантограф,да,да,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,sempero-sofa_3m_st-leather-black,12,8,12,2,2,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_01.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_02.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_03.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_04.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_05.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_MOB_01.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_MOB_02.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_MOB_03.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_MOB_05.jpg,,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_01.jpg,"","",images/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_GOODS_01.png,true,""
86,Прямой диван Sempero,fabric_icons/CORSO_08.png,corso-08,fabric_icons/LEATHER_BLACK.png,leather-black,fabric_icons/LEATHER_BROWN.png,leather-brown,fabric_icons/VELUTTO_16.png,velutto-16,fabric_icons/TEDDY_917.png,teddy-917,true,false,true,true,true,true,images/SEMPERO_SOFA_3M_ST_CORS0_08_GOODS_01.png,"Sempero – это строгий и функциональный диван. Инновационная система аммортизации, механизм трансформации в кровать ""Пантограф"" и отсек для хранения белья. Небольшой габарит позволяет разместить в любое пространство. Выбирайте черные литые металлические ножки или замените на г-образные или хромированные наклонные. Sempero – это диван, который станет украшением вашей гостиной.",118632.00,closeups/SEMPERO_SOFA_3M_ST_CORSO_08_CLOSEUP.jpg,226,92,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,Пантограф,да,да,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,sempero-sofa_3m_st-corso-08,12,8,8,2,2,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_01.jpg,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_02.jpg,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_05.jpg,"","",carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_MOB_01.jpg,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_MOB_02.jpg,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_MOB_03.jpg,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_MOB_05.jpg,,carousel/SEMPERO_SOFA_3M_ST_CORS0_08_CARD_01.jpg,"","",images/SEMPERO_SOFA_3M_ST_CORS0_08_GOODS_01.png,true,""
88,Прямой диван Sempero,fabric_icons/CORSO_08.png,corso-08,fabric_icons/LEATHER_BLACK.png,leather-black,fabric_icons/LEATHER_BROWN.png,leather-brown,fabric_icons/VELUTTO_16.png,velutto-16,fabric_icons/TEDDY_917.png,teddy-917,true,true,true,true,true,true,images/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_GOODS_01.png,"Sempero – это строгий и функциональный диван. Инновационная система аммортизации, механизм трансформации в кровать ""Пантограф"" и отсек для хранения белья. Небольшой габарит позволяет разместить в любое пространство. Выбирайте черные литые металлические ножки или замените на г-образные или хромированные наклонные. Sempero – это диван, который станет украшением вашей гостиной.",118632.00,closeups/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CLOSEUP.jpg,226,92,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,Пантограф,да,да,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,sempero-sofa_3m_st-leather-brown,12,8,10,2,2,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_01.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_02.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_03.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_04.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_05.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_MOB_01.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_MOB_02.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_MOB_03.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_MOB_05.jpg,,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_CARD_01.jpg,"","",images/SEMPERO_SOFA_3M_ST_LEATHER_BROWN_GOODS_01.png,true,""
83,Прямой диван Formeto,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/VELUTTO_16.png,velutto-16,"","",true,true,true,true,true,true,images/FORMETO_SOFA_2M_ST_KILLIAN_01_GOODS_01.png,"Коллекция Formeto – это идеальное решение для тех, кто ценит комфорт и функциональность. Наклонные подлокотники и мягкая начинка обеспечивают максимальный комфорт во время отдыха или чтения. Бельевые ящики позволяют хранить постельное белье и другие вещи. Металлические ножки добавляют лёгкости и стильности дизайну. Декоративный кант придает дивану изысканный вид.",118779.00,closeups/FORMETO_SOFA_KILLIAN_01_CLOSEUP.jpg,240,86,103,pdf/FORMETO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,да,да,да,"",Ортопедические свойства,2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,formeto-sofa_2m_st-kilian-01,10,7,7,2,2,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_01.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_02.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_03.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_04.jpg,"",carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_MOB_01.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_MOB_02.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_MOB_03.jpg,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_MOB_04.jpg,carousel/SEMPERO_SOFA_3M_ST_LEATHER_BLACK_CARD_05.jpg,,carousel/FORMETO_SOFA_2M_KILLIAN_01_CARD_01.jpg,"","",images/FORMETO_SOFA_2M_ST_KILLIAN_01_GOODS_01.png,true,""
30,Угловой диван Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_CORNER_ST_LEFT_KILIAN_01_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",186233.00,closeups/CONSONO_CORNER_ST_LEFT_KILIAN_01_CLOSEUP.jpg,283,72,84,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/CON_ARMCH.svg,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-28 22:23:13.931 +0300,consono-cornerl-kilian-01,3,1,7,2,2,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_05.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_01.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_02.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_03.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_04.jpg,carousel/CONSONO_CORNER_ST_LEFT_KILIAN_01_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_CAMBRIDGE_600_2_mob.jpg,"","",images/CONSONO_CORNER_ST_LEFT_KILIAN_01_GOODS_02.png,true,"3d/CONSONO_CORNER_ST_LEFT_MAX2018.zip"
27,Кресло Consono,fabric_icons/CORSO_08.png,corso-08,fabric_icons/KILIAN_01.png,kilian-01,fabric_icons/PIXEL_FOREST.png,pixel-forest,fabric_icons/TEDDY_955.png,teddy-955,fabric_icons/VELUTTO_04.png,velutto-04,true,false,true,true,true,true,images/CONSONO_ARM_VELUTTO_04_GOODS_02.png,"Consono – модульная система, которая состоит из диванов, кушеток, пуфов и кресел. Лаконичный и современный дизайн органично впишется в любые пространства. Сиденье выполнено из пенополиуретана нового поколения Elax. Уровень комфорта Consono чрезвычайно высок благодаря возможности регуляции положения спинки и используемым в подушках наполнением. Благодаря изящным металлическим ножкам в виде шпильки силуэт модульной системы остаётся лёгким и парящим.",11122.00,closeups/CONSONO_ARM_VELUTTO_04_CLOSEUP.jpg,108,110,81,pdf/CONSONO.pdf,Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,schemes/CON_ARMCH.svg,"Изменяемая глубина посадки, ортопедические свойства",2024-01-24 00:22:49.000 +0300,2024-02-29 17:23:28.941 +0300,consono-arm-velutto-04,1,1,9,2,2,carousel/CONSONO_ARM_VELUTTO_04_CARD_01.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_02.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_03.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_04.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_05.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_MOB_01.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_MOB_02.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_MOB_03.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_MOB_04.jpg,carousel/CONSONO_ARM_VELUTTO_04_CARD_MOB_05.jpg,,popovers/CONSONO_ARM_PIXEL_FOREST_2_mob.jpg,"","",images/CONSONO_ARM_VELUTTO_04_GOODS_02.png,true,"3d/CONSONO_ARM_MAX2018.zip"
59,Угловой диван Avis,fabric_icons/CORSO_08.png,corso-08,fabric_icons/JAZZ_01.png,jazz-01,fabric_icons/KILIAN_01.png,kilian-01,"","","","",true,true,true,true,true,true,images/AVIS_CORNER_L_KILLIAN_01_GOODS_01.png,Дизайнерский угловой диван станет украшением вашей гостиной,145120.00,closeups/AVIS_CORNER_L_KILLIAN_01_CLOSEUP.png,284,155,90,"",Инновационная пена Elax,Пух-перо,Фанера,Сталь,нет,нет,нет,"","Изменяемая глубина посадки, ортопедические свойства",2024-03-14 23:56:18.854 +0300,2024-03-15 02:22:49.000 +0300,avis-cornerl-kilian-01,3,5,7,2,2,carousel/AVIS_CORNER_L_KILLIAN_01_CARD_01.jpg,carousel/AVIS_CORNER_L_KILLIAN_01_CARD_02.jpg,carousel/AVIS_CORNER_L_KILLIAN_01_CARD_03.jpg,carousel/AVIS_CORNER_L_KILLIAN_01_CARD_04.jpg,"",carousel/AVIS_CORNER_L_KILLIAN_01_CARD_MOB_01.jpg,carousel/AVIS_CORNER_L_KILLIAN_01_CARD_MOB_02.jpg,carousel/AVIS_CORNER_L_KILLIAN_01_CARD_MOB_03.jpg,carousel/AVIS_CORNER_L_KILLIAN_01_CARD_MOB_04.jpg,"",,carousel/AVIS_CORNER_L_KILLIAN_01_CARD_01.jpg,"","",images/AVIS_CORNER_L_KILLIAN_01_GOODS_01.png,true,""
